Cáparra	Point(-6.10097222 40.16658333)
El Rebollar	Point(-3.620172 43.060497)
El Romaní	Point(-0.396388888 39.303055555)
El Río	Point(-2.880277777 42.31)
El Salero	Point(-0.781388888 37.833611111)
El Secadero	Point(-5.313611111 36.336944444)
El Sexmo	Point(-4.595833333 36.745)
El Siscar	Point(-1.025590806 38.069153721)
El Soto	Point(-6.78333333 40.21666667)
El Tejo	Point(-4.333055555 43.370833333)
El Terrón	Point(-7.175 37.225)
El Tojo	Point(-4.281111111 43.161666666)
El Turro	Point(-3.941944444 37.133611111)
El Valdés	Point(-4.242222222 36.758055555)
El Varadero	Point(-3.533333333 36.733333333)
El Ventorrillo	Point(-3.691666666 37.160555555)
El Villar	Point(-2.242222222 42.136388888)
Elechas	Point(-3.772222222 43.426944444)
Enterría	Point(-4.726666666 43.128333333)
Enterrías	Point(-4.679166666 43.0975)
Entrambasmestas	Point(-3.896666666 43.165833333)
Entrepeñas	Point(-6.471944444 42.051388888)
Entrerríos	Point(-5.721666666 38.995)
Entrín Alto	Point(-6.709722222 38.691111111)
San Pedro de Ojeda	Point(-4.405555555 42.691666666)
Regules	Point(-3.498333333 43.2)
Esanos	Point(-4.572222222 43.18)
Escabia	Point(-8.814444444 42.731111111)
Escarabajosa de Cuéllar	Point(-4.278333333 41.403055555)
Escobedo	Point(-3.905277777 43.267777777)
Campogrande de Aliste	Point(-6.22598056 41.82163056)
La Iglesia	Point(-3.263055555 43.257777777)
La Indiana	Point(-5.198611111 36.754444444)
La Isleta del Moro	Point(-2.051388888 36.813888888)
La Jauca	Point(-2.613333333 37.423333333)
Jauca Alta	Point(-2.560833333 37.419444444)
La Joya	Point(-4.623333333 36.9325)
La Joya	Point(-3.620555555 37.227222222)
La Lastra	Point(-4.668888888 42.915277777)
La Loma	Point(-4.204722222 42.938055555)
La Loma	Point(-3.621111111 36.930833333)
La Lomba	Point(-4.286383333 43.010952777)
La Magdalena	Point(-1.07728854 37.64883399)
La Magdalena	Point(-3.334444444 43.354166666)
La Mamola	Point(-3.275555555 36.747777777)
La Martina	Point(-6.6164 42.5471)
La Mata de Armuña	Point(-5.643611111 41.0675)
La Mata de la Riba	Point(-5.340577777 42.852261111)
La Miña	Point(-4.16393 43.0157)
La Molina	Point(-4.635555555 43.155555555)
La Molina de Ubierna	Point(-3.627777777 42.5125)
La Montaña	Point(-4.0166282 43.3232903)
La Nava del Condado	Point(-3.749208333 41.259822222)
La Nave	Point(-2.972486111 42.693647222)
La Nuez de Abajo	Point(-3.809166666 42.4575)
La Orden	Point(-3.3341009 42.8482422)
La Palma	Point(-0.96316777 37.68972417)
La Palma	Point(-4.26666667 37.13333333)
La Parada	Point(-3.904166666 43.165277777)
La Parte	Point(-3.927665555 42.5262325)
La Penilla	Point(-3.881666666 43.319444444)
La Peredilla	Point(-3.821111111 43.123888888)
La Perla	Point(-3.428333333 36.698611111)
La Piedra	Point(-3.876944444 42.634444444)
La Poblachuela	Point(-3.951 38.9647)
La Población	Point(-3.9431 43.03041389)
La Portilla	Point(-3.381666666 43.387777777)
La Puente	Point(-3.899722222 43.098333333)
La Quieva	Point(-3.752222222 43.313333333)
La Quinta	Point(-6.73333333 40.05)
La Quintana	Point(-4.208055555 42.8825)
La Rabia	Point(-4.311111111 43.380277777)
La Rades	Point(-3.595127777 41.181233333)
La Rañada	Point(-3.737777777 43.338888888)
La Rebolleda	Point(-4.255833333 42.732222222)
La Revilla	Point(-3.32889 42.0147)
La Revilla	Point(-4.363055555 43.379444444)
La Revilla	Point(-3.489722222 43.201666666)
La Revilla de Herrán	Point(-3.251111111 42.823611111)
La Riva	Point(-3.964722222 43.169722222)
La Roza	Point(-3.638611111 43.279722222)
La Rábita	Point(-3.171388888 36.748611111)
La Salada	Point(-4.8275 37.296388888)
La Santa Espina	Point(-5.098055555 41.732222222)
La Sota	Point(-3.845555555 43.126111111)
La Tosca	Point(-17.816680555 28.828630555)
La Unión de los Tres Ejércitos	Point(-2.422777777 42.3675)
La Utrera	Point(-5.917983333 42.708866666)
La Vega	Point(-2.749444444 37.465277777)
La Vega	Point(-3.743611111 43.338611111)
La Vega	Point(-3.697222222 43.295)
La Vega	Point(-3.400833333 43.304166666)
La Vega	Point(-4.645833333 43.099444444)
La Vega de Robledo	Point(-5.892016666 42.925488888)
La Veguecilla	Point(-3.883407777 42.021376666)
La Veguellina	Point(-5.275305555 42.325633333)
La Ventona	Point(-3.899444444 43.145833333)
La Ventosa de Fuentepinilla	Point(-2.723555555 41.618472222)
La Villa de Ocón	Point(-2.242777777 42.298888888)
La Virgen	Point(-4.2475 43.329444444)
La Viña	Point(-4.1475 37.285277777)
Labarces	Point(-4.391944444 43.325555555)
Laborcillas	Point(-3.291388888 37.453055555)
Lafuente	Point(-4.515 43.254166666)
Lagos	Point(-3.436666666 36.794166666)
Lagos	Point(-4.019444444 36.744722222)
Laguillos	Point(-4.121666666 42.923333333)
Lagunilla de la Vega	Point(-4.754166666 42.438333333)
Laiseca	Point(-3.2675 43.237222222)
Lamadrid	Point(-4.363333333 43.355277777)
Lamedo	Point(-4.494444444 43.109444444)
Lamiña	Point(-4.280277777 43.233333333)
Lanchares	Point(-3.973611111 43.041111111)
Landeral	Point(-3.330833333 43.335277777)
Langre	Point(-3.697777777 43.472777777)
Langre	Point(-6.566478 42.736668)
Lanseros	Point(-6.409722222 42.065555555)
Lantueno	Point(-4.0825 43.049722222)
Laroles	Point(-3.014722222 37.008333333)
Las Beatas	Point(-0.803888888 37.829166666)
Quintanilla	Point(-4.474444444 43.251666666)
Quintanilla	Point(-6.2788 42.1534)
Quintanilla Cabrera	Point(-3.413055555 42.167222222)
Quintanilla Escalada	Point(-3.770555555 42.801111111)
Quintanilla de Corvio	Point(-4.28994444 42.8375)
Quintanilla de Losada	Point(-6.556722222 42.277575)
Quintanilla de Rueda	Point(-5.165791666 42.682825)
Quintanilla de Ríofresno	Point(-4.208055555 42.54)
Quintanilla de San Román	Point(-3.872602 42.965499)
Quintanilla de Somoza	Point(-6.256944444 42.373888888)
Quintanilla de Yuso	Point(-6.377033333 42.241491666)
Quintanilla de la Cueza	Point(-4.793055555 42.299166666)
Quintanilla del Monte en Rioja	Point(-3.129722222 42.439166666)
Quintanilla del Rebollar	Point(-3.625131 43.056717)
Quintanilla del Valle	Point(-5.933611111 42.510833333)
Rabanal de los Caballeros	Point(-4.475 42.895833333)
Rabanillo	Point(-6.65216 42.0941)
Rabé de los Escuderos	Point(-3.739069444 41.978430555)
Rajamancera	Point(-6.006237397 36.628336513)
Ranedo	Point(-3.246111111 42.814444444)
Ranero	Point(-3.295 43.356666666)
Rascón	Point(-3.389166666 43.331944444)
Rasillo	Point(-3.889166666 43.2525)
Rebollar de los Oteros	Point(-5.449669444 42.412147222)
Rebolledillo de la Orden	Point(-4.257777777 42.665277777)
Rebolledo	Point(-4.157222222 42.894166666)
Rebolledo de Traspeña	Point(-4.132777777 42.681944444)
Redo	Point(-4.708611111 43.151388888)
Regada	Point(-3.370555555 43.326944444)
Rehoyos	Point(-3.494444444 43.178888888)
Reinosilla	Point(-4.201944444 42.9175)
Relea de la Loma	Point(-4.704722222 42.522777777)
Renedo	Point(-4.304375 43.202708333)
Renedo de La Escalera	Point(-4.146609444 42.721303333)
Renedo de la Inera	Point(-4.215 42.761111111)
Renedo del Monte	Point(-4.678888888 42.542777777)
Requejada	Point(-4.027969444 43.390383333)
Restábal	Point(-3.582222222 36.929444444)
Retamal	Point(-6.63 38.737222222)
Retamar y el Toyo	Point(-2.314722222 36.832777777)
Retamar	Point(-4.22817 38.66794)
Revenga	Point(-4.103611111 40.873611111)
Revilla	Point(-3.865833333 43.406666666)
Revilla	Point(-3.8833426 43.4066651)
Revilla de Campos	Point(-4.711666666 42.006944444)
Riahuelas	Point(-3.5182 41.4023)
Riahuelas	Point(-3.51805556 41.40277778)
Riaño de Ibio	Point(-4.177777777 43.3175)
Ribera de Molina	Point(-1.2081 38.0247)
Riclones	Point(-4.456388888 43.283888888)
Riego del Monte	Point(-5.470333333 42.441969444)
Rinconeda	Point(-4.033055555 43.378888888)
Rincón de Olivedo	Point(-1.965833333 42.051111111)
Rioconejos	Point(-6.46145 42.0753)
Riocorvo	Point(-4.0775 43.3125)
Riolastras	Point(-3.549166666 43.38)
Rionegrito	Point(-6.52958 42.0745)
Rionegro	Point(-3.52 43.429722222)
Rioscuro	Point(-6.28905 42.932972222)
Rioseco	Point(-3.316111111 43.365)
Rioseco	Point(-4.408888888 43.253055555)
Rioseco	Point(-4.093055555 43.079722222)
Rioseras	Point(-3.638333333 42.458055555)
Riosmenudos de la Peña	Point(-4.658055555 42.751666666)
Rioturbio	Point(-4.314722222 43.363888888)
Riva	Point(-3.558055555 43.2825)
Rivera Oveja	Point(-6.21666667 40.3)
Rivero	Point(-4.049722222 43.275277777)
Robladillo de Ucieza	Point(-4.575 42.397777777)
Robledo Hermoso	Point(-6.419722222 41.107777777)
Robledo de Caldas	Point(-5.914255555 42.938097222)
Robledo de Fenar	Point(-5.542002777 42.827772222)
Robledo de Torío	Point(-5.529722222 42.651111111)
Robles de Laciana	Point(-6.275844444 42.941013888)
Robredo Sobresierra	Point(-3.673333333 42.543888888)
Rocillo	Point(-3.4175 43.340277777)
Rocillo	Point(-3.371388888 43.386388888)
Rocillo	Point(-3.426388888 43.315833333)
Rocías	Point(-3.591111111 43.261944444)
Rodezas	Point(-4.238888888 43.343888888)
Roldán	Point(-1.006864 37.798091)
Ros	Point(-3.809166666 42.484444444)
Rosales	Point(-3.435258611 42.9413725)
Rosío	Point(-3.401538888 42.989907222)
Rozacorderos	Point(-6.66666667 40.1)
Rozadío	Point(-4.385277777 43.223611111)
Rozas	Point(-3.487777777 43.215277777)
Rozas	Point(-6.61959 42.1121)
Ruanales	Point(-3.912222222 42.8975)
Agüera	Point(-3.256111111 43.297222222)
Ahedo	Point(-3.39 43.336388888)
La Fuensaviñán	Point(-2.5825 40.9658)
Aja	Point(-3.521111111 43.200833333)
Ajanedo	Point(-3.709166666 43.263888888)
Ajuarte	Point(-2.913611111 42.539166666)
Renedo	Point(-3.949444444 43.353055555)
Alar	Point(-3.805 43.111111111)
Alba de los Cardaños	Point(-4.718055555 42.908888888)
Albares de la Ribera	Point(-6.364677777 42.607952777)
Alberguería de Herguijuela	Point(-5.870555555 40.601111111)
Calabazanos	Point(-4.509722222 41.943611111)
Albires	Point(-5.268333333 42.252222222)
Alceda	Point(-3.914444444 43.192777777)
Alceda	Point(-3.918055555 43.193611111)
Alconadilla	Point(-3.498888 41.46373)
Alcorneo	Point(-7.192777777 39.301944444)
Alcázar	Point(-3.339444444 36.849722222)
Alcútar	Point(-3.192222222 36.967222222)
Aldano	Point(-3.868333333 43.131944444)
Aldea Quintana	Point(-4.866944444 37.711666666)
Aldea de Ebro	Point(-4.022222222 42.905555555)
Aldealobos	Point(-2.201111111 42.309444444)
Aldeanueva del Campanario	Point(-3.613333333 41.371666666)
Aldeanueva del Monte	Point(-3.544166666 41.335)
Aldeaseca de Armuña	Point(-5.671111111 41.019444444)
Aldeavieja	Point(-4.47242222 40.74268056)
Fuente Nueva	Point(-2.406388888 37.711388888)
Aldueso	Point(-4.088333333 43.017777777)
Colonia Agrícola Monte Algaida	Point(-6.318180555 36.833711111)
Tarriba	Point(-3.780833333 43.359166666)
Alfornón	Point(-3.278611111 36.818333333)
Alija de la Ribera	Point(-5.534166666 42.523333333)
Alisas	Point(-3.408888888 43.354444444)
Alisas	Point(-3.661944444 43.2975)
Llaguno	Point(-3.264166666 43.301944444)
El Hijate	Point(-2.592222222 37.395555555)
Allén del Hoyo	Point(-3.881111111 42.928888888)
Almaciles	Point(-2.338055555 37.980277777)
Almayate	Point(-4.129444444 36.730833333)
Almazorre	Point(0.060372 42.261190833)
Almendres	Point(-3.413970277 42.892197222)
Almiruete	Point(-3.226388888 41.046944444)
Almontaras	Point(-2.756666666 37.766944444)
Almorchón	Point(-5.290555555 38.697222222)
Almáciga	Point(-16.19694444 28.57138889)
Aloños	Point(-3.873611111 43.229722222)
Altuzarra	Point(-3.025555555 42.233055555)
San Pelegrín	Point(-0.004656 42.1725)
Amayuelas de Abajo	Point(-4.495555555 42.205)
Amayuelas de Ojeda	Point(-4.492222222 42.785)
Ambasaguas de Curueño	Point(-5.372088888 42.712786111)
Ambroz	Point(-3.663611111 37.164166666)
Anaz	Point(-3.751111111 43.363055555)
Ancillo	Point(-3.489722222 43.450277777)
Ancillo	Point(-3.4974016 43.4498815)
La Rasa	Point(-3.105277777 41.537222222)
Vidrieros	Point(-4.663611111 42.942222222)
Anero	Point(-3.651666666 43.3975)
Cóbreces	Point(-4.201944444 43.370277777)
Oville	Point(-5.348558333 42.908730555)
La Baña	Point(-6.668616666 42.270941666)
Ordovés	Point(-0.34586183 42.40391983)
Ordovés	Point(-0.34573 42.404605)
Polvorosa de Valdavia	Point(-4.599722222 42.611944444)
El Temple	Point(-0.750833333 41.974722222)
Sancibrián	Point(-3.885277777 43.461388888)
La Pedrosa	Point(-5.8 36.75)
Villaescusa de Ebro	Point(-3.831388888 42.830277777)
Los Sáez	Point(-0.803888888 37.822777777)
Las Abiertas	Point(-5.702777777 36.745)
San Pablo de Buceite	Point(-5.413611111 36.4675)
Las Heras de la Peña	Point(-4.7475 42.800555555)
Cosío	Point(-4.398888888 43.233888888)
Toranzo	Point(-4.665277777 43.106388888)
Las Hortichuelas	Point(-2.028611111 36.874444444)
Azucaica	Point(-3.97083333 39.88361111)
Aldeyuso	Point(-4.134722222 41.560833333)
Zudaire	Point(-2.132777777 42.773888888)
Paladín	Point(-5.919722222 42.720277777)
Amaya	Point(-4.162972222 42.642527777)
Duña	Point(-4.215833333 43.336111111)
Mazueco de Lara	Point(-3.469747222 42.17735)
Urmella	Point(0.529166666 42.511388888)
Valdegama	Point(-4.217777777 42.724722222)
Puente del Río	Point(-2.987222222 36.7575)
Yuso	Point(-4.099722222 43.372777777)
Rases	Point(-4.619722222 43.166111111)
Arrocerezo	Point(-6.25 40.3)
Nachá	Point(0.490205 41.956887)
Tagarrosa	Point(-4.207419444 42.490783333)
Escuer	Point(-0.321111 42.628333)
Escuernavacas	Point(-6.415555555 40.948333333)
Escuredo	Point(-5.948888888 42.691944444)
Escóznar	Point(-3.846388888 37.236944444)
Esles	Point(-3.801666666 43.281944444)
Espinilla	Point(-4.225766666 43.023055555)
Espinosa del Monte	Point(-3.157948333 42.352547777)
Esquedas	Point(-0.545277777 42.2125)
Revenga de Muñó	Point(-3.863611111 42.158333333)
Villantodrigo	Point(-4.662777777 42.493333333)
Pumarejo de Tera	Point(-6.030654 41.97216483)
Renedo de Valderaduey	Point(-4.945833333 42.588611111)
Estación de Archidona	Point(-4.424444444 37.135555555)
Santa Engracia de Loarre	Point(-0.644302 42.313986)
Estación de Medinaceli	Point(-2.42125 41.1652)
La Nuez de Arriba	Point(-3.808638888 42.600027777)
Espinosa de Bricia	Point(-3.8625 42.872222222)
Estalaya	Point(-4.475 42.9275)
Estebanvela	Point(-3.334222222 41.361494444)
Estella del Marqués	Point(-6.075 36.684166666)
Pedrazales	Point(-6.67117 42.1176)
Muru-Astráin	Point(-1.742416666 42.766083333)
Estiche de Cinca	Point(0.124166666 41.818055555)
Estrada	Point(-4.444444444 43.358611111)
Etreros	Point(-4.431666666 40.945833333)
Valdemoreno	Point(-5.616666666 39.766666666)
Villar de Farfón	Point(-6.16951 41.9789)
Exfiliana	Point(-3.103611111 37.266944444)
Extramiana	Point(-3.309416666 42.847102777)
Ánzola	Point(-3.781388888 37.250277777)
Paretón	Point(-1.39633069 37.722471449)
Valdespino de Vaca	Point(-5.154841666 42.302436111)
Hernán-Valle	Point(-3.064444444 37.372222222)
Larraya	Point(-1.763333333 42.776944444)
Faramontanos de la Sierra	Point(-6.39409444 42.13009722)
Vidular	Point(-3.528888888 43.376666666)
Margudgued	Point(0.08372983 42.43343883)
Felechares de la Valdería	Point(-6.044155555 42.192908333)
Vega de Nuez	Point(-6.451125 41.809194444)
Vear de Udalla	Point(-3.44 43.317222222)
Panillo	Point(0.300277777 42.236944444)
Quintanaluengos	Point(-4.423888888 42.853333333)
Salinas de Hoz	Point(-0.120328 42.168801)
Fernán Pérez	Point(-2.066111111 36.912222222)
Ferradillo	Point(-6.65648 42.4656)
Ferreros	Point(-6.57133333 42.07144722)
Reocín de los Molinos	Point(-4.053888888 42.861388888)
Flores	Point(-6.18568889 41.74726667)
Foncastín	Point(-5.018333333 41.434444444)
Fondales	Point(-3.321388888 36.925)
Fontecha	Point(-4.148947222 43.030783333)
Fontecha de la Peña	Point(-4.721666666 42.743888888)
Fontoria	Point(-6.654458333 42.760861111)
Forna	Point(-6.631172222 42.280119444)
Fornillos de Aliste	Point(-6.18931389 41.65535556)
Fornillos de Apiés	Point(-0.374722222 42.186388888)
Fradellos	Point(-6.2214 41.7588)
Frama	Point(-4.591944444 43.147777777)
Francos	Point(-3.314722222 43.356666666)
Francos	Point(-3.355561111 41.375963888)
Fresneda	Point(-4.296666666 43.180555555)
Fresnedo	Point(-3.4725 43.188611111)
Fresnedo	Point(-3.571388888 43.365555555)
Frontada	Point(-4.32680556 42.80305556)
Froxán	Point(-8.813333333 42.755)
Frula	Point(-0.447222222 41.91)
Fuencalenteja	Point(-4.010555555 42.652222222)
Fuencivil	Point(-3.93747222 42.62263889)
Fuencubierta	Point(-4.989444444 37.709166666)
Fuente-Andrino	Point(-4.453888888 42.411944444)
Fuente Camacho	Point(-4.255555555 37.099166666)
Fuente Grande	Point(-3.556666666 37.244166666)
Fuente Humorera	Point(-3.654722222 42.919444444)
Fuente Librilla	Point(-1.413847222 37.918113888)
Fuente Vera	Point(-2.785 37.735555555)
Fuente Victoria	Point(-2.876666666 36.985277777)
Fuente del Pino	Point(-1.293730289 38.54146961)
Fuente Úrbel	Point(-3.914166666 42.6475)
Fuentebuena	Point(-5.777222222 40.418888888)
Fuentecaliente de Lucio	Point(-4.149022222 42.73885)
Fuentemizarra	Point(-3.560258333 41.458427777)
Fuenteodra	Point(-4.109722222 42.678611111)
Fuentes de Cesna	Point(-4.229166666 37.271388888)
Fuentes de la Jara	Point(-5.091944444 39.689444444)
Fátima	Point(-2.7325 37.818888888)
Gabanes	Point(-3.230277777 42.798055555)
Gabia Chica	Point(-3.655555555 37.124166666)
Gabia Grande	Point(-3.669166666 37.136388888)
Gafares	Point(-1.993611111 37.016111111)
Gafarillos	Point(-2.019805555 37.057722222)
Gajano	Point(-3.764166666 43.410555555)
Galifa	Point(-1.077943687 37.606630136)
Rubayo	Point(-3.747222222 43.422222222)
Rublacedo de Arriba	Point(-3.51024 42.53274)
Rudagüera	Point(-4.15 43.360277777)
Ruecas	Point(-5.875833333 39.039722222)
Rueda del Almirante	Point(-5.286763888 42.587080555)
Ruerrero	Point(-3.903333333 42.831944444)
Ruilobuca	Point(-4.256666666 43.374722222)
Rumoroso	Point(-3.998888888 43.381666666)
Rupelo	Point(-3.394861944 42.124266944)
Ruyales del Páramo	Point(-3.809166666 42.541388888)
Rábago	Point(-4.451666666 43.304166666)
Rábano de Sanabria	Point(-6.60943 42.1435)
Río	Point(-4.486944444 43.244722222)
Río Quintanilla	Point(-3.50835 42.73161)
Río San Pedro	Point(-6.22833333 36.52305556)
Sa Cabaneta	Point(2.746944444 39.622222222)
Saceda del Río	Point(-2.613055555 40.211388888)
Sahechores de Rueda	Point(-5.205266666 42.627516666)
Saja	Point(-4.2866641 43.1445901)
Salarzón	Point(-4.570555555 43.1875)
Salas de los Barrios	Point(-6.54975 42.514041666)
Salceda	Point(-4.458055555 43.080833333)
Saleres	Point(-3.597777777 36.929722222)
Salto de Saucelle	Point(-6.805277777 41.0425)
Salto de Villalcampo	Point(-6.087777777 41.494166666)
Saludes de Castroponce	Point(-5.745555555 42.156944444)
San Agustín de Dalías	Point(-2.693611111 36.713055555)
San Andrés	Point(-17.760541666 28.799713888)
San Andrés	Point(-2.585277777 42.093611111)
San Andrés	Point(-4.05964186 43.24585298)
San Andrés	Point(-4.083888888 42.912777777)
San Andrés de Montearados	Point(-3.909722222 42.711944444)
San Antón	Point(-3.036944444 42.269166666)
San Asensio de los Cantos	Point(-2.9775 42.368333333)
San Bartolomé de Tormes	Point(-5.275833333 40.371388888)
San Bartolomé de los Montes	Point(-3.483611111 43.323055555)
San Benito	Point(-4.6771 38.5649)
San Blas	Point(-1.17916667 40.35805556)
San Cayetano	Point(-0.9 37.81666667)
San Cibrián	Point(-3.761065 42.970932)
San Cipriano del Condado	Point(-5.378366666 42.642791666)
San Ciprián	Point(-6.91023 41.974)
San Ciprián	Point(-6.65918 42.1714)
San Clemente del Valle	Point(-3.1891525 42.365878055)
San Cristóbal	Point(-3.65 42.36666667)
San Cristóbal de Valdueza	Point(-6.5212 42.464102777)
San Cristóbal del Monte	Point(-3.13333333 42.38333333)
San Diego	Point(-5.25583333 36.31222222)
San Enrique de Guadiaro	Point(-5.2925 36.30472222)
San Felices de Castillería	Point(-4.444444444 42.924166666)
San Feliz de Torío	Point(-5.53638889 42.68388889)
San Feliz de Órbigo	Point(-5.897222222 42.476111111)
San Fiz do Seo	Point(-6.917094444 42.640075)
San Francisco de Olivenza	Point(-7.106111111 38.747222222)
San Isidro de Níjar	Point(-2.1735077 36.909012)
San José de Malcocinado	Point(-5.867777777 36.358333333)
San Juan de Redondo	Point(-4.449722222 42.989444444)
San Juan de la Cuesta	Point(-6.6017 42.10633611)
San Juan de los Terreros	Point(-1.66111 37.3594)
San Julián	Point(-6.977222222 42.672777777)
San Justo de las Regueras	Point(-5.485833333 42.503055555)
San Llorente de la Vega	Point(-4.266666666 42.433333333)
San Llorente del Páramo	Point(-4.766944444 42.395)
San Luis de Sabinillas	Point(-5.228055555 36.358611111)
San Mamés	Point(-4.434166666 43.113611111)
San Mamés de Meruelo	Point(-3.569166666 43.445555555)
San Mamés de Zalima	Point(-4.357777777 42.838888888)
San Marcos	Point(-2.703888888 37.616388888)
San Martín	Point(-2.307777777 42.296666666)
San Martín	Point(-3.93 43.22)
San Martín	Point(-3.553611111 43.1975)
San Martín de Hoyos	Point(-4.153333333 42.931944444)
San Martín de Perapertú	Point(-4.3675 42.905555555)
San Martín de Porres	Point(-3.768611111 43.020555555)
San Martín de Ubierna	Point(-3.706944444 42.506388888)
San Martín de los Herreros	Point(-4.593611111 42.890555555)
San Martín del Monte	Point(-4.484722222 42.566388888)
San Martín del Obispo	Point(-4.753888888 42.516388888)
San Martín del Valle	Point(-4.785 42.436666666)
San Miguel de Aras	Point(-3.505555555 43.328055555)
San Miguel de Cornezuelo	Point(-3.768611111 43.020555555)
San Miguel de Lomba	Point(-6.6813 42.064)
San Miguel de Luena	Point(-3.902222222 43.094166666)
San Miguel de Meruelo	Point(-3.578055555 43.458055555)
San Miguel de Pedroso	Point(-3.214444444 42.395277777)
San Pantaleón de Aras	Point(-3.495 43.345277777)
San Pedro de Bedoya	Point(-4.565833333 43.179444444)
San Pedro de Cansoles	Point(-4.914722222 42.753888888)
San Pedro de las Baheras	Point(-4.527222222 43.350833333)
San Pedro de las Cuevas	Point(-5.86093 41.7081)
San Pedro de las Herrerías	Point(-6.38075833 41.90454444)
San Pedro de los Oteros	Point(-5.394738888 42.352138888)
San Pedro del Monte	Point(-3.110138888 42.415663888)
Las Bodas	Point(-5.296933333 42.845655555)
Las Caldas de Besaya	Point(-4.075055555 43.298944444)
Las Cucharetas	Point(-2.783333333 37.627222222)
Las Delgadas	Point(-6.576070108 37.6589145)
Las Entradas	Point(-3.380555555 43.343611111)
Las Erías	Point(-6.394166666 40.371388888)
Las Esperanzas	Point(-0.78333333 37.83333333)
Las Grañeras	Point(-5.214444444 42.396388888)
Las Henestrosas de las Quintanillas	Point(-4.204722222 42.875833333)
Las Herrerías	Point(-1.795833333 37.272222222)
Las Ilces	Point(-4.768055555 43.114722222)
Las Juntas	Point(-2.905555555 37.333333333)
Las Lagunas	Point(-4.637457 36.543785)
Las Lagunillas	Point(-4.695277777 36.984166666)
Las Molineras	Point(-2.701111111 37.409444444)
Las Murtas	Point(-1.845 38.275833333)
Las Nogueras	Point(-1.08476389 39.58554444)
Las Pachecas	Point(-6.076054932 36.633301228)
Las Palas	Point(-1.189029462 37.662240195)
Las Palomas	Point(-16.55972222 28.11333333)
Las Peñuelas	Point(-4.063888888 39.065)
Las Pilas	Point(-3.639444444 43.423611111)
Las Pinedas	Point(-4.948055555 37.708888888)
Las Porquerizas	Point(-3.764444444 43.3125)
Las Presillas	Point(-3.979444444 43.325555555)
Las Rebolledas	Point(-3.759444444 42.458055555)
Las Tablas, Polila y Añina	Point(-6.20485681 36.692272859)
Las Torres	Point(-4.02223 37.20401)
Las Uces	Point(-6.475277777 41.093611111)
Las Ventas	Point(-1.908611111 42.057222222)
Las Ventas de Albares	Point(-6.391477777 42.603713888)
Las Ventillas	Point(-3.488055555 36.731388888)
Las Viñas	Point(-3.011111111 37.405555555)
Lastras de la Torre	Point(-3.270825 43.0115796)
Lastrilla	Point(-4.095 42.800555555)
Lastur	Point(-2.33 43.25)
Lavín	Point(-3.558611111 43.185)
Lebanza	Point(-4.526944444 42.968333333)
Lebeña	Point(-4.584166666 43.214444444)
Lechedo	Point(-3.345620277 42.882173888)
Lendagua	Point(-3.322777777 43.368055555)
Lermilla	Point(-3.588055555 42.577777777)
Lerones	Point(-4.56 43.096944444)
Leva	Point(-3.701944444 42.953888888)
Lezana de Mena	Point(-3.3467593 43.0833009)
Liandres	Point(-4.249722222 43.391388888)
Librán	Point(-6.503635 42.728155)
Liermo	Point(-3.642777777 43.433888888)
Ligüérzana	Point(-4.458333333 42.857222222)
Lillo del Bierzo	Point(-6.609722222 42.785)
Limones	Point(-3.78055556 37.38416667)
Llamas de Laciana	Point(-6.32305 42.929641666)
Llanillo	Point(-4.078888888 42.729166666)
Llano	Point(-3.888333333 43.110555555)
Llano	Point(-4.0575 43.275277777)
Llanos	Point(-3.796944444 43.325555555)
Llaves	Point(-4.730555555 43.136666666)
Llerana	Point(-3.806944444 43.261111111)
Lloreda	Point(-3.819166666 43.295)
Llánaves de la Reina	Point(-4.800541666 43.054136111)
Llánez	Point(-3.502222222 43.368333333)
Lobado	Point(-4.08210342 43.25385534)
Lober	Point(-6.19974444 41.72405278)
Lobres	Point(-3.565555555 36.770555555)
Lodares de Osma	Point(-3.010833333 41.570277777)
Loma Cabrera	Point(-2.381944444 36.856111111)
Loma de Arriba	Point(-0.78333333 37.85)
Loma de Castrejón	Point(-4.5825 42.7975)
Lombera	Point(-3.3975 43.316666666)
Lombraña	Point(-4.413888888 43.101666666)
Lomeña	Point(-4.567777777 43.087222222)
Lomilla	Point(-4.299166666 42.763055555)
Lomopardo	Point(-6.082776604 36.654606913)
Lon	Point(-4.681666666 43.168055555)
Loredo	Point(-3.718333333 43.461666666)
Lores	Point(-4.530277777 42.996388888)
Loreto	Point(-3.956944444 37.186388888)
Lorilla	Point(-3.990555555 42.768888888)
Los Alamillos	Point(-1.993611111 37.016111111)
Los Albarizones	Point(-6.101508559 36.659820131)
Los Algarbes	Point(-4.946666666 37.634722222)
Los Antolinos	Point(-0.8 37.83333333)
Los Baños de Guardias Viejas	Point(-2.845 36.701666666)
Los Carriones	Point(-2.676111111 37.678055555)
Los Castillas	Point(-3.187222222 36.773055555)
Los Cuarteros	Point(-0.78333333 37.81666667)
Los Gómez	Point(-0.76666667 37.83333333)
Los Hoyos	Point(-3.291944444 43.255555555)
Los Imbernones	Point(-0.76666667 37.83333333)
Los Llanos	Point(-4.580555555 37.071388888)
Los Llanos	Point(-4.711666666 43.137222222)
Los Llazos	Point(-4.4775 42.991111111)
San Quirce de Riopisuerga	Point(-4.302222222 42.629722222)
San Rafael de Olivenza	Point(-7.053333333 38.72)
